rk,school,div,str,park,ofs,dfs,sos
1,Dixie St.,2,2.304,1.184,1.703,0.400,0.890
2,North Georgia,2,2.069,0.965,1.538,0.402,0.871
3,North Ala.,2,1.924,0.985,1.601,0.450,1.019
4,Mo.-St. Louis,2,1.781,0.973,1.628,0.495,0.884
5,Saint Leo,2,1.747,1.023,1.413,0.437,0.901
6,Shorter,2,1.735,0.945,1.766,0.550,0.997
7,Augustana (SD),2,1.665,1.009,1.597,0.519,0.842
8,Cal St. Monterey Bay,2,1.587,0.974,1.583,0.540,0.925
9,Ala.-Huntsville,2,1.553,0.999,1.419,0.494,0.913
10,Georgia College,2,1.529,0.936,1.664,0.588,0.881
11,California Baptist,2,1.517,0.968,1.548,0.552,0.882
12,St. Mary's (TX),2,1.505,0.959,1.481,0.532,0.823
13,Indianapolis,2,1.402,0.984,1.372,0.529,0.917
14,Rollins,2,1.392,0.956,1.446,0.562,0.898
15,Humboldt St.,2,1.301,1.142,1.387,0.577,0.945
16,Southern N.H.,2,1.297,0.912,1.327,0.553,0.760
17,Armstrong,2,1.293,0.985,1.828,0.765,0.918
18,Florida Tech,2,1.214,1.280,1.180,0.526,0.948
19,Henderson St.,2,1.194,0.942,1.431,0.648,0.847
20,Saint Martin's,2,1.189,0.922,1.574,0.716,0.866
21,Palm Beach Atl.,2,1.172,0.987,1.278,0.590,0.929
22,Cameron,2,1.152,1.022,1.554,0.730,0.832
23,East Central,2,1.151,1.054,1.411,0.663,0.891
24,Central Mo.,2,1.139,0.977,1.472,0.699,0.880
25,Trevecca Nazarene,2,1.125,1.045,1.190,0.572,0.681
26,Central Okla.,2,1.118,1.042,1.583,0.766,0.876
26,Sonoma St.,2,1.118,0.910,1.519,0.735,0.934
28,California (PA),2,1.108,1.046,1.177,0.574,0.729
29,Tampa,2,1.106,1.013,1.032,0.505,0.939
29,Lee,2,1.106,1.024,1.579,0.772,0.936
31,Carson-Newman,2,1.099,1.019,1.429,0.703,0.757
32,Angelo St.,2,1.096,0.929,1.350,0.666,0.846
33,Barry,2,1.092,0.885,1.467,0.726,0.933
34,Ashland,2,1.087,1.107,1.307,0.650,0.800
35,Truman,2,1.082,0.948,1.403,0.702,0.865
36,Bellarmine,2,1.074,0.967,1.098,0.553,0.849
37,Mont. St. Billings,2,1.032,1.132,1.476,0.774,0.950
37,Southern Ind.,2,1.032,0.937,1.273,0.667,0.855
39,Chico St.,2,1.030,0.953,1.272,0.668,0.953
40,Anderson (SC),2,1.026,1.033,1.282,0.676,0.746
41,Arkansas Tech,2,1.022,0.921,1.368,0.724,0.867
42,Delta St.,2,1.008,0.973,1.446,0.776,0.948
43,Mo. Western St.,2,1.007,0.896,1.230,0.661,0.869
44,GRU Augusta,2,1.005,0.971,1.420,0.764,0.897
45,Minn. St. Mankato,2,0.999,0.978,1.172,0.635,0.825
45,Emporia St.,2,0.999,0.957,1.198,0.649,0.841
47,Midwestern St.,2,0.995,0.969,1.634,0.888,0.916
48,Eckerd,2,0.975,1.061,1.244,0.690,0.950
